AlloraAdapterV2InvalidAggregator 0x22182f8f
AlloraAdapterV2InvalidDataProvider 0x106feec0
AlloraAdapterV2InvalidDataTime 0x512aee2e
AlloraAdapterV2InvalidDataValiditySeconds 0x154adaeb
AlloraAdapterV2NoDataProvided 0xd9c63430
AlloraAdapterV2NotSwitchedOn 0x5a3e7a36
InvalidShortString 0xb3512b0c
SafeCastOverflowedUintDowncast 0x6dfcc650
StringTooLong 0x305a27a9
AlloraAdapterV2AverageAggregatorNoValuesToAggregate 0x39fb39a8
InvalidShortString 0xb3512b0c
StringTooLong 0x305a27a9
AlloraAdapterV2EvenFeeHandlerEthTransferFailed 0x36739c46
AlloraAdapterV2EvenFeeHandlerFeeTooLow 0x0eeb6089
AlloraAdapterV2EvenFeeHandlerInvalidFeedOwnerFeePortion 0x3fa4cea9
AlloraAdapterV2MedianAggregatorNoValuesToAggregate 0xac0a7e13
InvalidShortString 0xb3512b0c
StringTooLong 0x305a27a9
